instrument_name,option_type,spot_price,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,cheapness_score,volatility_edge,combined_score,bid_ask_spread_pct,delta,gamma,theta,vega,open_interest,classification
ETH-22MAY26-2400-P,put,2317.8,2400.0,12.953188173912036,132.69405,156.6103825482162,-23.91633254821619,-0.1527123052703928,0.47979999999999995,0.6375365835831345,-0.15773658358313453,0.1527123052703928,0.15773658358313453,0.31044888885352734,0.09606986899563319,-0.63323,0.0018,-3.04416,1.64387,398.0,cheap
ETH-22MAY26-2200-C,call,2317.82,2200.0,12.953216487708334,154.13503,179.13227397405217,-24.997243974052168,-0.13954628844645323,0.4826,0.6375365835831345,-0.1549365835831345,0.13954628844645323,0.1549365835831345,0.29448287202958773,0.16541353383458637,0.73215,0.00156,-2.67846,1.43796,98.0,cheap
ETH-29MAY26-2400-P,put,2318.88,2400.0,19.953121306134257,153.62580000000003,181.20915629045749,-27.58335629045746,-0.15221833628674097,0.4954,0.6375365835831345,-0.14213658358313447,0.15221833628674097,0.14213658358313447,0.29435491986987544,0.022641509433962422,-0.59442,0.00144,-2.60958,2.10211,6572.0,cheap
ETH-29MAY26-2200-C,call,2318.86,2200.0,19.953148942546296,176.81307500000003,204.86996145507578,-28.056886455075755,-0.13694973267824875,0.5033,0.6375365835831345,-0.1342365835831345,0.13694973267824875,0.1342365835831345,0.27118631626138323,0.032786885245901724,0.69358,0.00129,-2.39986,1.90303,11722.0,cheap
ETH-22MAY26-2450-P,put,2317.8,2450.0,12.953182012407407,168.0405,189.77449153435396,-21.733991534353947,-0.1145253577476694,0.4829,0.6375365835831345,-0.15463658358313448,0.1145253577476694,0.15463658358313448,0.2691619413308039,0.1793103448275863,-0.71369,0.00161,-2.76946,1.48563,85.0,cheap
ETH-29MAY26-2450-P,put,2318.89,2450.0,19.95311523550926,190.14898,213.15535841682822,-23.006378416828227,-0.10793244226982528,0.49689999999999995,0.6375365835831345,-0.14063658358313452,0.10793244226982528,0.14063658358313452,0.2485690258529598,0.06097560975609754,-0.66106,0.00136,-2.47043,1.98422,2115.0,cheap
ETH-29MAY26-2150-C,call,2318.86,2150.0,19.95315494650463,211.595975,237.00742423591828,-25.41144923591827,-0.10721794609532398,0.508,0.6375365835831345,-0.12953658358313447,0.10721794609532398,0.12953658358313447,0.23675452967845845,0.06027397260273981,0.75679,0.00114,-2.16089,1.69769,13133.0,cheap
ETH-29MAY26-2500-P,put,2318.89,2500.0,19.953109118113424,225.51205249999998,247.59050686686282,-22.078454366862843,-0.08917326696509863,0.4996,0.6375365835831345,-0.1379365835831345,0.08917326696509863,0.1379365835831345,0.22710985054823313,0.06683804627249375,-0.72084,0.00124,-2.2817,1.82245,762.0,neutral
ETH-29MAY26-2550-P,put,2318.85,2550.0,19.953103055104165,265.508325,284.3300361050044,-18.821711105004397,-0.06619670353101018,0.5029,0.6375365835831345,-0.13463658358313446,0.06619670353101018,0.13463658358313446,0.20083328711414464,0.13100436681222716,-0.77319,0.00111,-2.05831,1.63343,173.0,neutral
ETH-22MAY26-2500-P,put,2317.8,2500.0,12.953175942280092,214.3965,225.90664089567053,-11.510140895670531,-0.050950874441031635,0.4907,0.6375365835831345,-0.14683658358313445,0.050950874441031635,0.14683658358313445,0.19778745802416609,0.227027027027027,-0.78003,0.00138,-2.44883,1.29276,18.0,neutral
ETH-29MAY26-2100-C,call,2318.86,2100.0,19.95316115371528,250.43688000000003,271.94901422379667,-21.512134223796636,-0.0791035565442187,0.521,0.6375365835831345,-0.11653658358313446,0.0791035565442187,0.11653658358313446,0.19564014012735315,0.04629629629629631,0.80913,0.00096,-1.9264,1.47542,8121.0,neutral
ETH-29MAY26-2050-C,call,2318.86,2050.0,19.95316724104167,292.17636000000005,309.5329107229743,-17.356550722974248,-0.05607336125400898,0.535,0.6375365835831345,-0.10253658358313444,0.05607336125400898,0.10253658358313444,0.1586099448371434,0.039682539682539784,0.85262,0.00079,-1.67489,1.24933,5811.0,neutral
ETH-22MAY26-2000-C,call,2317.78,2000.0,12.953234856655092,326.80698000000007,333.95767656020575,-7.150696560205688,-0.0214119843983181,0.5561,0.6375365835831345,-0.08143658358313444,0.0214119843983181,0.08143658358313444,0.10284856798145253,0.0992907801418439,0.92785,0.00057,-1.28809,0.60006,5.0,neutral
