instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,portfolio_score,mci_reject_reason,decision_reason,decision
ETH-22MAY26-2450-C,call,2026-05-22,2450.0,8.049874001041667,2267.11,2267.11,0.080670986410011,0.080670986410011,12.015683,11.33555,12.469105,11.33555,12.015683,47.98,0.4797999999999999,0.14773,0.00143,0.77744,-2.31692,2277.0,103.0,0.0952380952380951,27.34530993372033,27.34530993372033,-0.5605943750821014,-0.167903117084844,cheap,0.7284974921669454,0.647703117084844,0.6576638891501121,1.0,0.55,0.22906984505292682,0.7278911564625854,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2300-C,call,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,20.177279,19.270435000000003,21.537545,18.13688,20.177279,40.97,0.4097,0.35725,0.00439,0.77326,-5.19394,60.0,63.0,0.111111111111111,39.3747437593895,39.3747437593895,-0.4875578334350829,-0.2380031170848439,cheap,0.725560950519927,0.647703117084844,0.63419450139501,1.0,0.55,0.22906984505292682,0.6825396825396828,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2550-C,call,2026-05-29,2550.0,15.049874001041667,2267.11,2267.11,0.1247800062634807,0.1247800062634807,14.509504000000002,13.60266,15.86977,13.60266,14.509504000000002,49.39,0.4939,0.13245,0.00094,0.98726,-1.61994,17001.0,5237.0,0.1538461538461538,32.77931354652526,32.77931354652526,-0.5573579056374698,-0.1538031170848439,cheap,0.7111610227223137,0.647703117084844,0.6558794830799918,1.0,0.55,0.22906984505292682,0.5604395604395606,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2400-C,call,2026-05-22,2400.0,8.049874001041667,2267.11,2267.11,0.0586164764832759,0.0586164764832759,19.043724,18.13688,20.40399,19.270435000000003,19.043724,46.8,0.4679999999999999,0.21835,0.00187,0.99309,-2.88658,4807.0,5585.0,0.1176470588235293,38.85925054581526,38.85925054581526,-0.5099307440953512,-0.179703117084844,cheap,0.6896338611801952,0.647703117084844,0.6480600476134974,1.0,0.55,0.22906984505292682,0.6638655462184877,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2500-C,call,2026-05-29,2500.0,15.049874001041667,2267.11,2267.11,0.1027254963367458,0.1027254963367458,20.177279,19.270435000000003,21.537545,21.537545,20.177279,48.64,0.4864,0.17541,0.00115,1.18935,-1.92209,25111.0,77.0,0.111111111111111,42.3516408521989,42.3516408521989,-0.5235773964362848,-0.1613031170848439,cheap,0.6848805135211287,0.647703117084844,0.67419450139501,1.0,0.55,0.22906984505292682,0.6825396825396828,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2250-P,put,2026-05-17,2250.0,3.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,25.618343,24.93821,26.071765000000003,24.93821,25.618343,40.94,0.4094,-0.4125,0.00459,0.8068,-5.4152,2506.0,2717.0,0.0444444444444444,44.87461998967376,44.87461998967376,-0.4291128703508772,-0.2383031170848439,cheap,0.6674159874357213,0.647703117084844,0.6627659299664386,1.0,0.55,0.22906984505292682,0.8730158730158731,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-17MAY26-2275-C,call,2026-05-17,2275.0,3.049874001041667,2267.11,2267.11,0.0034802016664388,0.0034802016664388,30.152563,28.338875,31.73954,31.73954,30.152563,40.69,0.4069,0.47019,0.00472,0.82446,-5.49972,117.0,171.0,0.1132075471698113,50.136089828834656,50.136089828834656,-0.3985856674714503,-0.2408031170848439,cheap,0.6393887845562943,0.647703117084844,0.6113963034074117,0.9124010984359499,0.55,0.22906984505292682,0.6765498652291105,0.03499580003472224,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-3000-C,call,2026-06-26,3000.0,43.049874001041665,2267.11,2267.11,0.3232705956040951,0.3232705956040951,14.056082,13.60266,14.736215,14.736215,14.056082,53.93,0.5393,0.07969,0.00035,1.15681,-0.72465,10829.0,17.0,0.0799999999999999,29.89051658289304,29.89051658289304,-0.5297477726415546,-0.1084031170848439,cheap,0.6381508897263986,0.647703117084844,0.7440282547248711,1.0,0.55,0.22906984505292682,0.7714285714285717,1.0,1.0,,accepted_dynamic_mci,accept
ETH-29MAY26-2450-C,call,2026-05-29,2450.0,15.049874001041667,2267.11,2267.11,0.080670986410011,0.080670986410011,28.565586000000003,27.20532,29.47243,24.93821,28.565586000000003,48.3,0.483,0.23134,0.00137,1.40347,-2.25186,7446.0,429.0,0.0799999999999999,54.12866206221679,54.12866206221679,-0.4722650641694038,-0.1647031170848439,cheap,0.6369681812542478,0.647703117084844,0.6875278347283433,1.0,0.55,0.22906984505292682,0.7714285714285717,0.4349958000347222,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2100-P,put,2026-05-22,2100.0,8.049874001041667,2267.11,2267.11,-0.0737105830771335,0.0737105830771335,12.922527,11.33555,13.60266,17.003325,12.922527,50.48,0.5047999999999999,-0.14332,0.00133,0.76175,-2.38818,3608.0,1211.0,0.1818181818181817,24.970733448409987,24.970733448409987,-0.4824930942978432,-0.142903117084844,cheap,0.6253962113826872,0.647703117084844,0.6205581377586464,1.0,0.55,0.22906984505292682,0.4805194805194808,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-22MAY26-2350-C,call,2026-05-22,2350.0,8.049874001041667,2267.11,2267.11,0.036561966556541,0.036561966556541,30.379274,29.47243,31.73954,30.605985,30.379274,46.12,0.4612,0.31473,0.00229,1.19622,-3.42686,2806.0,258.0,0.0740740740740741,53.90465406032217,53.90465406032217,-0.4364257682462078,-0.1865031170848439,cheap,0.6229288853310517,0.647703117084844,0.6667341839346925,1.0,0.55,0.22906984505292682,0.7883597883597883,0.2016624667013889,1.0,,accepted_dynamic_mci,accept
ETH-26JUN26-2900-C,call,2026-06-26,2900.0,43.049874001041665,2267.11,2267.11,0.2791615757506251,0.2791615757506251,19.723857,19.270435000000003,20.40399,17.003325,19.723857,53.19,0.5318999999999999,0.10677,0.00044,1.43628,-0.88728,14139.0,70.0,0.057142857142857,40.0069843218788,40.0069843218788,-0.5069896585728527,-0.115803117084844,cheap,0.6227927756576968,0.647703117084844,0.7538241730922182,1.0,0.55,0.22906984505292682,0.8367346938775514,1.0,1.0,,accepted_dynamic_mci,accept
