instrument_name,option_type,expiry,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_pct,volatility_spread,classification,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,bid_ask_spread_pct,delta,gamma,vega,theta,decision_reason
ETH-14MAY26-2300-C,call,14MAY26,2300.0,3.656781857673611,70.3815,85.52542305647967,-0.1770692563131649,-0.1799014023408799,cheap,0.5916875462779367,0.5967082214358799,0.55,0.4244536002753707,0.6166666666666667,0.5511977086389259,0.1,0.67576,0.00335,0.84437,-5.28061,accepted_dynamic_mci
ETH-29MAY26-2200-C,call,29MAY26,2200.0,18.65652145042824,197.22612,220.5550489498503,-0.1057737243419661,-0.1185014023408799,cheap,0.5906691689294891,0.3765602733214649,0.55,0.4244536002753707,0.890873015873016,0.680074281630963,0.0595238095238094,0.73022,0.0012,1.75444,-2.43944,accepted_dynamic_mci
ETH-15MAY26-2500-C,call,15MAY26,2500.0,4.65664229068287,8.3291165,18.320848819033188,-0.5453749669421956,-0.1521014023408799,cheap,0.5869169709238917,0.6594632753872929,0.55,0.4244536002753707,0.5102791292253523,0.506185626381914,0.1408450704225351,0.12905,0.00164,0.55779,-2.90576,accepted_dynamic_mci
ETH-29MAY26-2250-P,put,29MAY26,2250.0,18.65650887778935,64.568075,86.90819283848896,-0.2570542213437352,-0.1246014023408799,cheap,0.5862944992323946,0.7318582817893413,0.0,0.4244536002753707,0.9333333333333332,0.7843920872998519,0.0363636363636364,-0.33522,0.00134,1.93437,-2.65771,accepted_dynamic_mci
ETH-14MAY26-2425-C,call,14MAY26,2425.0,3.656740363055555,14.075939999999996,29.47518677894925,-0.5224478098963964,-0.1853014023408799,cheap,0.5828389090598097,0.6890980797691395,0.55,0.4244536002753707,0.4020696676283499,0.5536321891819815,0.1666666666666667,0.23901,0.00292,0.72836,-4.50147,accepted_dynamic_mci
ETH-15MAY26-2350-P,put,15MAY26,2350.0,4.656664088171296,51.03159000000001,68.66886427750501,-0.2568452888084641,-0.1803014023408799,cheap,0.5808945773616461,0.7940827540986415,0.0,0.4244536002753707,0.8735632183908051,0.6644868602329074,0.0689655172413791,-0.50195,0.00329,1.05728,-5.18778,accepted_dynamic_mci
ETH-22MAY26-2300-P,put,22MAY26,2300.0,11.656580732465278,59.25821500000001,82.40602538016594,-0.2808994885189222,-0.1502014023408799,cheap,0.5789359884855625,0.7510555935205148,0.0,0.4244536002753707,0.8910891089108912,0.7261800371372593,0.0594059405940593,-0.39157,0.00188,1.61099,-3.36575,accepted_dynamic_mci
ETH-29MAY26-2300-P,put,29MAY26,2300.0,18.656500608761572,84.52547999999999,108.66340838029384,-0.2221348358208804,-0.1295014023408799,cheap,0.5779939034339766,0.6893917556121135,0.0,0.4244536002753707,0.9490740740740744,0.7839413336476296,0.0277777777777776,-0.4063,0.00144,2.059,-2.80193,accepted_dynamic_mci
ETH-14MAY26-2475-C,call,14MAY26,2475.0,3.6567242483217592,6.685843499999999,17.402389177179714,-0.6158088736018299,-0.1760014023408799,cheap,0.5758404379677433,0.6621241616404845,0.55,0.4244536002753707,0.4377283703216374,0.497594219543025,0.1754385964912281,0.12775,0.00193,0.49077,-3.09522,accepted_dynamic_mci
ETH-29MAY26-2200-P,put,29MAY26,2200.0,18.656517212800928,48.132565,68.13162046171624,-0.2935355907607376,-0.1185014023408799,cheap,0.575025303625367,0.7063919551078927,0.0,0.4244536002753707,0.900194466802168,0.7850742477299445,0.0487804878048781,-0.26978,0.0012,1.75444,-2.43944,accepted_dynamic_mci
