instrument_name,spot_shock,iv_shock,days_forward,scenario_price,scenario_value,scenario_pnl
ETH-29MAY26-2350-C,-0.1,0.2,7,14.069139043475332,13.830829570179517,-56.811509075443624
ETH-29MAY26-2350-C,-0.05,-0.1,0,18.5375342080373,18.22353702600154,-52.418801619621604
ETH-29MAY26-2350-C,-0.05,-0.1,1,16.985779095319515,16.6980662468491,-53.94427239877405
ETH-29MAY26-2350-C,-0.05,-0.1,3,13.871788699221781,13.636822035777264,-57.00551660984588
ETH-29MAY26-2350-C,-0.05,-0.1,7,7.7324970352515265,7.601520485084669,-63.04081816053847
ETH-29MAY26-2350-C,-0.05,0.0,0,32.47868440631032,31.928545684225668,-38.71379296139747
ETH-29MAY26-2350-C,-0.05,0.0,1,30.202961821774693,29.69137032342649,-40.95096832219665
ETH-29MAY26-2350-C,-0.05,0.0,3,25.555085063983938,25.122221415198545,-45.520117230424596
ETH-29MAY26-2350-C,-0.05,0.0,7,15.91629448571399,15.646697053775139,-54.995641591848
ETH-29MAY26-2350-C,-0.05,0.1,0,47.97262561557909,47.160043473364226,-23.482295172258915
ETH-29MAY26-2350-C,-0.05,0.1,1,45.00117940590735,44.2389289704846,-26.40340967513854
ETH-29MAY26-2350-C,-0.05,0.1,3,38.875136674543796,38.21665193595492,-32.42568670966822
ETH-29MAY26-2350-C,-0.05,0.1,7,25.822383174467006,25.38499190876594,-45.2573467368572
ETH-29MAY26-2350-C,-0.05,0.2,0,64.40168144252982,63.31081648366429,-7.331522161958851
ETH-29MAY26-2350-C,-0.05,0.2,1,60.757895800417145,59.7287509393125,-10.913587706310643
ETH-29MAY26-2350-C,-0.05,0.2,3,53.20335403058402,52.302171432457726,-18.340167213165415
ETH-29MAY26-2350-C,-0.05,0.2,7,36.84382703656013,36.21974954410286,-34.42258910152028
ETH-29MAY26-2350-C,0.0,-0.1,0,53.81233747785711,52.900839641242015,-17.741499004381126
ETH-29MAY26-2350-C,0.0,-0.1,1,51.463309394316525,50.59160046330651,-20.05073818231663
