instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct
ETH-17MAY26-2425-C,call,2026-05-17,2425.0,3.049874001041667,2267.11,2267.11,0.06964373144664338,0.06964373144664338,2.4938210000000005,2.26711,2.947243,7.254752000000001,2.4938210000000005,47.01,0.47009999999999996,0.06111,0.00124,0.25043,-1.92976,73.0,73.0,0.2608695652173912
ETH-17MAY26-2425-P,put,2026-05-17,2425.0,3.049874001041667,2267.11,2267.11,0.06964373144664338,0.06964373144664338,160.057966,65.74619000000001,262.98476000000005,,160.057966,47.01,0.47009999999999996,-0.93889,0.00124,0.25043,-1.92976,0.0,0.0,1.2
ETH-17MAY26-2100-C,call,2026-05-17,2100.0,3.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,169.806539,165.49903,179.10169000000002,,169.806539,52.23,0.5223,0.94819,0.00098,0.21989,-1.88261,0.0,0.0,0.07894736842105271
ETH-17MAY26-2100-P,put,2026-05-17,2100.0,3.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,2.4938210000000005,2.040399,2.4938210000000005,3.173954,2.4938210000000005,52.23,0.5223,-0.05181,0.00098,0.21989,-1.88261,1075.0,1088.0,0.20000000000000026
ETH-17MAY26-2450-C,call,2026-05-17,2450.0,3.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,1.8136880000000002,1.586977,2.26711,2.040399,1.8136880000000002,49.53,0.4953,0.04542,0.00093,0.19792,-1.60717,44.0,44.0,0.35294117647058826
ETH-17MAY26-2450-P,put,2026-05-17,2450.0,3.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,184.542754,88.41729000000001,289.056525,,184.542754,49.53,0.4953,-0.95458,0.00093,0.19792,-1.60717,0.0,0.0,1.0630630630630629
ETH-17MAY26-2075-C,call,2026-05-17,2075.0,3.049874001041667,2267.11,2267.11,-0.08473783804050095,0.08473783804050095,194.064616,190.43724000000003,202.90634500000002,,194.064616,55.16,0.5516,0.96254,0.00071,0.16929,-1.53096,0.0,0.0,0.06340057636887599
ETH-17MAY26-2075-P,put,2026-05-17,2075.0,3.049874001041667,2267.11,2267.11,-0.08473783804050095,0.08473783804050095,1.8136880000000002,1.360266,1.8136880000000002,,1.8136880000000002,55.16,0.5516,-0.03746,0.00071,0.16929,-1.53096,0.0,0.0,0.2857142857142858
ETH-17MAY26-2475-C,call,2026-05-17,2475.0,3.049874001041667,2267.11,2267.11,0.09169824137337845,0.09169824137337845,1.360266,1.133555,1.8136880000000002,3.400665,1.360266,52.04,0.5204,0.03433,0.00071,0.1576,-1.34455,150.0,150.0,0.46153846153846156
ETH-17MAY26-2475-P,put,2026-05-17,2475.0,3.049874001041667,2267.11,2267.11,0.09169824137337845,0.09169824137337845,209.027542,112.221945,313.99473500000005,,209.027542,52.04,0.5204,-0.96567,0.00071,0.1576,-1.34455,0.0,0.0,0.946808510638298
ETH-17MAY26-2050-C,call,2026-05-17,2050.0,3.049874001041667,2267.11,2267.11,-0.09576509300386837,0.09576509300386837,218.776115,214.241895,227.844555,,218.776115,58.58,0.5858,0.9717,0.00053,0.13435,-1.29025,0.0,0.0,0.061538461538461604
ETH-17MAY26-2050-P,put,2026-05-17,2050.0,3.049874001041667,2267.11,2267.11,-0.09576509300386837,0.09576509300386837,1.360266,0.9068440000000001,1.586977,1.8136880000000002,1.360266,58.58,0.5858,-0.02837,0.00054,0.13463,-1.29292,500.0,501.0,0.5454545454545454
ETH-17MAY26-2500-C,call,2026-05-17,2500.0,3.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,0.9068440000000001,0.680133,1.133555,0.9068440000000001,0.9068440000000001,53.31,0.5331,0.02365,0.0005,0.1156,-0.97545,11.0,11.0,0.5000000000000001
ETH-17MAY26-2500-P,put,2026-05-17,2500.0,3.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,233.51233,137.160155,340.0665,,233.51233,53.31,0.5331,-0.97635,0.0005,0.1156,-1.01027,0.0,0.0,0.850356294536817
ETH-17MAY26-2000-C,call,2026-05-17,2000.0,3.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,268.199113,262.98476000000005,277.720975,,268.199113,66.33,0.6633,0.98199,0.00032,0.09177,-0.99777,0.0,0.0,0.0545073375262053
