instrument_name,option_type,strike,days_to_expiry,spot_price,market_price_usd,model_price_usd,price_diff_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,classification
ETH-29MAY26-2200-C,call,2200.0,25.55259537431713,2331.3,206.32005,230.84742343242897,-24.52737343242896,-0.1062492839111472,0.5451,0.6389011887831876,-0.09380118878318755,neutral
ETH-15MAY26-2200-C,call,2200.0,11.552696424282408,2330.24,163.81587199999998,182.50887585912415,-18.69300385912416,-0.10242243710685615,0.5158,0.6389011887831876,-0.12310118878318754,cheap
ETH-7MAY26-2425-P,put,2425.0,3.5527640316666664,2330.33,106.030015,117.95420745891442,-11.924192458914419,-0.1010917093658387,0.4503,0.6389011887831876,-0.1886011887831876,cheap
ETH-29MAY26-2450-P,put,2450.0,25.55256083219907,2331.33,200.49438,222.8322731994558,-22.337893199455806,-0.1002453229899122,0.5265,0.6389011887831876,-0.11240118878318761,cheap
ETH-5MAY26-2400-P,put,2400.0,1.5528823308680555,2330.33,75.502692,83.27283031590878,-7.770138315908781,-0.09330940579816395,0.4377,0.6389011887831876,-0.2012011887831876,neutral
ETH-7MAY26-2225-C,call,2225.0,3.552819397766204,2330.33,113.720104,125.34240793491836,-11.62230393491835,-0.09272443482139746,0.4743,0.6389011887831876,-0.16460118878318758,neutral
ETH-22MAY26-2500-P,put,2500.0,18.552603616342594,2330.77,214.43084,235.75820908849232,-21.327369088492333,-0.09046289064949192,0.5052,0.6389011887831876,-0.1337011887831876,neutral
ETH-8MAY26-2450-P,put,2450.0,4.552721964884259,2329.73,131.163799,143.45489293915716,-12.29109393915715,-0.08567915452260044,0.4622,0.6389011887831876,-0.17670118878318758,neutral
ETH-15MAY26-2500-P,put,2500.0,11.552657228819443,2330.24,194.342016,212.2399304721721,-17.89791447217209,-0.08432868608821364,0.4874,0.6389011887831876,-0.15150118878318758,neutral
ETH-5MAY26-2250-C,call,2250.0,1.5529221498842594,2330.34,83.65920600000001,91.29115690594153,-7.6319509059415225,-0.08360011160560514,0.4565999999999999,0.6389011887831876,-0.18230118878318768,neutral
ETH-29MAY26-2150-C,call,2150.0,25.55260095887732,2331.3,240.82329,262.4581572348286,-21.63486723482862,-0.08243168154027425,0.5528,0.6389011887831876,-0.08610118878318762,neutral
