instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,raw_reject_reason,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used
ETH-22MAY26-2000-P,put,2026-05-22,2000.0,8.049874001041667,2267.11,2267.11,-0.11781960293060334,0.11781960293060334,5.214353,4.760931,5.667775000000001,6.121197,5.214353,56.7,0.5670000000000001,-0.06219,0.00064,0.41265,-1.4533,2033.0,21.0,0.17391304347826092,classification_neutral,9.070081860196183,9.070081860196183,-0.42510408611822437,-0.0807031170848439,neutral,0.5058072032030683,0.647703117084844
ETH-22MAY26-2600-C,call,2026-05-22,2600.0,8.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,3.400665,3.173954,3.854087,2.947243,3.400665,53.42,0.5342,0.04636,0.00054,0.32705,-1.08508,6661.0,483.0,0.1935483870967741,market_price_below_minimum,,,,,,,
ETH-22MAY26-2600-P,put,2026-05-22,2600.0,8.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,334.852147,320.796065,368.40537500000005,249.3821,334.852147,53.42,0.5342,-0.95361,0.00054,0.32719,-1.08555,1.0,0.0,0.13815789473684223,classification_neutral,338.8679988022682,338.8679988022682,-0.011850785014997686,-0.11350311708484395,neutral,0.12535390209984165,0.647703117084844
ETH-22MAY26-2700-C,call,2026-05-22,2700.0,8.049874001041667,2267.11,2267.11,0.19094353604368552,0.19094353604368552,1.8136880000000002,1.586977,2.040399,2.26711,1.8136880000000002,58.39,0.5839,0.02465,0.00029,0.19456,-0.70561,2563.0,122.0,0.2499999999999999,market_price_below_minimum,,,,,,,
ETH-22MAY26-2700-P,put,2026-05-22,2700.0,8.049874001041667,2267.11,2267.11,0.19094353604368552,0.19094353604368552,433.244721,418.28179500000005,464.75755,337.79939,433.244721,58.39,0.5839,-0.97535,0.00029,0.19456,-0.70561,1.0,0.0,0.1052631578947367,classification_neutral,433.8382403973046,433.8382403973046,-0.0013680661178255076,-0.06380311708484399,neutral,0.0651711832026695,0.647703117084844
ETH-22MAY26-1800-C,call,2026-05-22,1800.0,8.049874001041667,2267.11,2267.11,-0.20603764263754298,0.20603764263754298,469.51848100000007,467.02466,478.36021,486.295095,469.51848100000007,75.39,0.7539,0.98306,0.00017,0.14162,-0.66311,1.0,0.0,0.023980815347721847,classification_neutral,469.2128475941754,469.2128475941754,0.0006513747596464125,0.10619688291515605,neutral,0.10684825767480247,0.647703117084844
ETH-22MAY26-1800-P,put,2026-05-22,1800.0,8.049874001041667,2267.11,2267.11,-0.20603764263754298,0.20603764263754298,1.586977,1.360266,1.8136880000000002,1.133555,1.586977,75.39,0.7539,-0.01694,0.00017,0.14162,-0.66311,5997.0,53.0,0.2857142857142858,market_price_below_minimum,,,,,,,
ETH-22MAY26-2800-C,call,2026-05-22,2800.0,8.049874001041667,2267.11,2267.11,0.23505255589715524,0.23505255589715524,0.9068440000000001,0.680133,1.360266,1.133555,0.9068440000000001,62.6,0.626,0.01325,0.00016,0.11465,-0.44579,673.0,1.0,0.6666666666666667,market_price_below_minimum,,,,,,,
ETH-22MAY26-2800-P,put,2026-05-22,2800.0,8.049874001041667,2267.11,2267.11,0.23505255589715524,0.23505255589715524,532.544139,502.164865,651.794125,,532.544139,62.6,0.626,-0.98675,0.00016,0.11465,-0.44579,0.0,0.0,0.25933202357563845,classification_neutral,531.6530297762092,531.6530297762092,0.0016761104966632988,-0.02170311708484396,neutral,0.023379227581507258,0.647703117084844
ETH-22MAY26-3000-C,call,2026-05-22,3000.0,8.049874001041667,2267.11,2267.11,0.3232705956040951,0.3232705956040951,0.45342200000000005,0.22671100000000002,0.9068440000000001,0.45342200000000005,0.45342200000000005,73.4,0.7340000000000001,0.00603,7e-05,0.05754,-0.26235,210.0,30.0,1.2000000000000002,market_price_below_minimum,,,,,,,
ETH-22MAY26-3000-P,put,2026-05-22,3000.0,8.049874001041667,2267.11,2267.11,0.3232705956040951,0.3232705956040951,731.8231079999999,614.3868100000001,859.23469,,731.8231079999999,73.4,0.7340000000000001,-0.99397,7e-05,0.05754,-0.26235,0.0,0.0,0.33230769230769214,classification_neutral,730.3789796396827,730.3789796396827,0.0019772315476954895,0.08629688291515614,neutral,0.08827411446285163,0.647703117084844
ETH-29MAY26-2100-C,call,2026-05-29,2100.0,15.049874001041667,2267.11,2267.11,-0.07371058307713352,0.07371058307713352,199.05225800000002,196.105015,204.03990000000002,299.25852000000003,199.05225800000002,51.41,0.5141,0.78606,0.00123,1.34227,-2.29265,7939.0,0.0,0.03966005665722384,classification_neutral,219.29562271785153,219.29562271785153,-0.09231084718866855,-0.13360311708484396,neutral,0.2259139642735125,0.647703117084844
ETH-29MAY26-2450-P,put,2026-05-29,2450.0,15.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,209.70767500000002,202.90634500000002,213.10834,234.645885,209.70767500000002,48.3,0.483,-0.76866,0.00137,1.40347,-2.25186,2110.0,1.0,0.04904632152588548,classification_neutral,232.9812043815091,232.9812043815091,-0.09989445046991183,-0.16470311708484398,neutral,0.26459756755475583,0.647703117084844
ETH-29MAY26-2050-C,call,2026-05-29,2050.0,15.049874001041667,2267.11,2267.11,-0.09576509300386837,0.09576509300386837,239.86023800000004,238.04655,247.11499,223.310335,239.86023800000004,52.75,0.5275,0.84141,0.001,1.11444,-1.95321,5861.0,50.0,0.0373831775700935,classification_neutral,255.84285754701295,255.84285754701295,-0.06247045432595669,-0.12020311708484399,neutral,0.18267357141080068,0.647703117084844
