instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume,fitted_iv,surface_residual,surface_residual_zscore
ETH-29MAY26-2100-C,call,2026-05-29,2100.0,15.946986305960648,2320.35,244.10082,0.5111,-0.094964121791971,0.094964121791971,front_month,-0.3921266664954298,0.51,-0.1143507989425822,0.4967105263157895,0.5321755334202449,0.0522565320665082,0.84036,0.00098,1.1794,-1.88998,7939.0,0.0,0.5271850376036379,-0.016085037603637886,-0.4741196884757351
ETH-29MAY26-2100-P,put,2026-05-29,2100.0,15.946986305960648,2320.35,21.81129,0.5111,-0.094964121791971,0.094964121791971,front_month,-0.3921266664954298,0.51,-0.1143507989425822,0.4967105263157895,0.5311483779987901,0.0540540540540541,-0.15964,0.00098,1.1794,-1.88998,6869.0,99.0,0.5271850376036379,-0.016085037603637886,-0.4741196884757351
ETH-29MAY26-2550-C,call,2026-05-29,2550.0,15.946986305960648,2320.35,22.73943,0.4775,0.0989721378240351,0.0989721378240351,front_month,-0.7878810817977984,0.23,-0.547916055334233,0.3519736842105263,0.6660612144090164,0.0512820512820512,0.18765,0.00116,1.30729,-1.95703,12107.0,6.0,0.4800038640092079,-0.0025038640092079345,-0.07380344723364418
ETH-29MAY26-2550-P,put,2026-05-29,2550.0,15.946986305960648,2320.35,250.13373,0.4775,0.0989721378240351,0.0989721378240351,front_month,-0.7878810817977984,0.23,-0.547916055334233,0.3519736842105263,0.4953652437130457,0.4313725490196078,-0.81244,0.00116,1.30685,-1.95636,144.0,0.0,0.4800038640092079,-0.0025038640092079345,-0.07380344723364418
ETH-29MAY26-2050-C,call,2026-05-29,2050.0,15.946986305960648,2320.35,287.491365,0.5251,-0.1165125950826383,0.1165125950826383,front_month,-0.2272289934527762,0.59,0.0663013912206057,0.6414473684210527,0.4925477113982189,0.0483870967741935,0.88335,0.00077,0.95185,-1.56702,5811.0,0.0,0.541720638023796,-0.016620638023795986,-0.48990695056428624
ETH-29MAY26-2050-P,put,2026-05-29,2050.0,15.946986305960648,2320.35,15.31431,0.5251,-0.1165125950826383,0.1165125950826383,front_month,-0.2272289934527762,0.59,0.0663013912206057,0.6414473684210527,0.4322853930713845,0.1538461538461537,-0.11664,0.00077,0.95176,-1.56693,4994.0,1074.0,0.541720638023796,-0.016620638023795986,-0.48990695056428624
ETH-29MAY26-2600-C,call,2026-05-29,2600.0,15.946986305960648,2320.35,16.242449999999998,0.4816,0.1205206111147025,0.1205206111147025,front_month,-0.7395896204067356,0.31,-0.4950107710721567,0.3782894736842105,0.5770141223051815,0.1428571428571427,0.14219,0.00096,1.09194,-1.64902,25812.0,1106.0,0.48405475918615937,-0.0024547591861593943,-0.07235604226138818
ETH-29MAY26-2600-P,put,2026-05-29,2600.0,15.946986305960648,2320.35,293.524275,0.4816,0.1205206111147025,0.1205206111147025,front_month,-0.7395896204067356,0.31,-0.4950107710721567,0.3782894736842105,0.4586467753664058,0.3904923599320883,-0.85781,0.00096,1.09194,-1.64902,78.0,10.0,0.48405475918615937,-0.0024547591861593943,-0.07235604226138818
ETH-29MAY26-2000-C,call,2026-05-29,2000.0,15.946986305960648,2320.35,333.20226,0.5492,-0.1380610683733056,0.1380610683733056,front_month,0.0566305722849345,0.67,0.3772812328586647,0.7598684210526315,0.4660244322880718,0.0382608695652174,0.91309,0.00059,0.76808,-1.32254,6807.0,0.0,0.558114888003665,-0.008914888003665022,-0.2627736426390317
ETH-29MAY26-2000-P,put,2026-05-29,2000.0,15.946986305960648,2320.35,11.137679999999998,0.5492,-0.1380610683733056,0.1380610683733056,front_month,0.0566305722849345,0.67,0.3772812328586647,0.7598684210526315,0.4392555674803541,0.0851063829787234,-0.08691,0.00059,0.76808,-1.32254,10588.0,3156.0,0.558114888003665,-0.008914888003665022,-0.2627736426390317
ETH-29MAY26-2650-C,call,2026-05-29,2650.0,15.946986305960648,2320.35,11.833785,0.4909,0.14206908440537,0.14206908440537,front_month,-0.630050451885544,0.39,-0.3750061018923245,0.4309210526315789,0.5619149229024701,0.0952380952380951,0.1086,0.00078,0.90449,-1.39227,8380.0,26.0,0.48996430392282186,0.0009356960771781386,0.027580410040156333
ETH-29MAY26-2650-P,put,2026-05-29,2650.0,15.946986305960648,2320.35,339.003135,0.4909,0.14206908440537,0.14206908440537,front_month,-0.630050451885544,0.39,-0.3750061018923245,0.4309210526315789,0.416336691609953,0.5098039215686274,-0.89136,0.00078,0.90474,-1.39267,11.0,0.0,0.48996430392282186,0.0009356960771781386,0.027580410040156333
ETH-29MAY26-1950-C,call,2026-05-29,1950.0,15.946986305960648,2320.35,380.07333,0.5710000000000001,-0.1596095416639731,0.1596095416639731,front_month,0.3133998060227811,0.75,0.6585825003984862,0.8125,0.436385070947467,0.033587786259542,0.93635,0.00045,0.60562,-1.08427,304.0,0.0,0.5763677875432452,-0.005367787543245184,-0.15821994455466812
ETH-29MAY26-1950-P,put,2026-05-29,1950.0,15.946986305960648,2320.35,8.121224999999999,0.5710000000000001,-0.1596095416639731,0.1596095416639731,front_month,0.3133998060227811,0.75,0.6585825003984862,0.8125,0.3883512009109029,0.1176470588235293,-0.06365,0.00045,0.60562,-1.08427,5559.0,19.0,0.5763677875432452,-0.005367787543245184,-0.15821994455466812
ETH-29MAY26-2700-C,call,2026-05-29,2700.0,15.946986305960648,2320.35,8.353259999999999,0.4959,0.1636175576960372,0.1636175576960372,front_month,-0.571158425798882,0.43,-0.3104874625483287,0.4572368421052631,0.5143725571760887,0.1369863013698631,0.08065,0.00062,0.72614,-1.12906,18472.0,170.0,0.4977324982191952,-0.0018324982191951777,-0.05401438941122891
ETH-29MAY26-2700-P,put,2026-05-29,2700.0,15.946986305960648,2320.35,385.64217,0.4959,0.1636175576960372,0.1636175576960372,front_month,-0.571158425798882,0.43,-0.3104874625483287,0.4572368421052631,0.4012266104582754,0.3349917081260364,-0.91935,0.00062,0.72614,-1.12906,41.0,0.0,0.4977324982191952,-0.0018324982191951777,-0.05401438941122891
ETH-29MAY26-1900-C,call,2026-05-29,1900.0,15.946986305960648,2320.35,428.1045749999999,0.5966,-0.1811580149546404,0.1811580149546404,front_month,0.6149269795864898,0.79,0.9889179338397432,0.8519736842105263,0.3143448089692048,0.2151162790697675,0.95281,0.00034,0.47803,-0.89419,186.0,0.0,0.5964793366425363,0.00012066335746374612,0.0035566515205540388
ETH-29MAY26-1900-P,put,2026-05-29,1900.0,15.946986305960648,2320.35,6.032909999999999,0.5966,-0.1811580149546404,0.1811580149546404,front_month,0.6149269795864898,0.79,0.9889179338397432,0.8519736842105263,0.3933123530530279,0.076923076923077,-0.04717,0.00034,0.4779,-0.89395,8735.0,24.0,0.5964793366425363,0.00012066335746374612,0.0035566515205540388
