instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume
ETH-29MAY26-2150-C,call,2026-05-29,2150.0,15.049874001041667,2267.11,161.191521,0.5015,-0.0516560731503985,0.0516560731503985,front_month,-0.6527222032764473,0.375,-0.42652704360208443,0.396875,0.627978689686078,0.027972027972028,0.71876,0.00146,1.55416,-2.58916,13116.0,100.0
ETH-29MAY26-2150-P,put,2026-05-29,2150.0,15.049874001041667,2267.11,42.394957000000005,0.5015,-0.0516560731503985,0.0516560731503985,front_month,-0.6527222032764473,0.375,-0.42652704360208443,0.396875,0.6130746747820631,0.0540540540540541,-0.28124,0.00146,1.55416,-2.58916,7531.0,373.0
ETH-29MAY26-2400-C,call,2026-05-29,2400.0,15.049874001041667,2267.11,40.127847,0.4822999999999999,0.0586164764832759,0.0586164764832759,front_month,-0.8473691112069148,0.0673076923076923,-0.6277202810104322,0.246875,0.7343759745886989,0.057142857142857,0.29977,0.00156,1.60127,-2.56559,21709.0,5228.0
ETH-29MAY26-2400-P,put,2026-05-29,2400.0,15.049874001041667,2267.11,171.166805,0.4822999999999999,0.0586164764832759,0.0586164764832759,front_month,-0.8473691112069148,0.0673076923076923,-0.6277202810104322,0.246875,0.7480446978919736,0.0332225913621262,-0.70028,0.00156,1.60114,-2.56537,7475.0,0.0
ETH-29MAY26-2100-C,call,2026-05-29,2100.0,15.049874001041667,2267.11,199.052258,0.5141,-0.0737105830771335,0.0737105830771335,front_month,-0.5249851699470777,0.4519230769230769,-0.294493981552856,0.434375,0.5789630820724875,0.0396600566572238,0.78606,0.00123,1.34227,-2.29265,7939.0,0.0
ETH-29MAY26-2100-P,put,2026-05-29,2100.0,15.049874001041667,2267.11,30.379274,0.5141,-0.0737105830771335,0.0737105830771335,front_month,-0.5249851699470777,0.4519230769230769,-0.294493981552856,0.434375,0.5800626292728418,0.0377358490566038,-0.21394,0.00123,1.34227,-2.29265,66495.0,60179.0
ETH-29MAY26-2450-C,call,2026-05-29,2450.0,15.049874001041667,2267.11,28.565586000000003,0.483,0.080670986410011,0.080670986410011,front_month,-0.8402726093552824,0.10576923076923077,-0.6203851108965853,0.259375,0.7028310454758635,0.0799999999999999,0.23134,0.00137,1.40347,-2.25186,7446.0,429.0
ETH-29MAY26-2450-P,put,2026-05-29,2450.0,15.049874001041667,2267.11,209.707675,0.483,0.080670986410011,0.080670986410011,front_month,-0.8402726093552824,0.10576923076923077,-0.6203851108965853,0.259375,0.720518861746786,0.0490463215258854,-0.76866,0.00137,1.40347,-2.25186,2110.0,1.0
ETH-29MAY26-2050-C,call,2026-05-29,2050.0,15.049874001041667,2267.11,239.86023800000004,0.5275,-0.0957650930038683,0.0957650930038683,front_month,-0.38913784878727276,0.5288461538461539,-0.15407786794494732,0.559375,0.5372288341274789,0.0373831775700935,0.84141,0.001,1.11444,-1.95321,5861.0,50.0
ETH-29MAY26-2050-P,put,2026-05-29,2050.0,15.049874001041667,2267.11,21.310834000000003,0.5275,-0.0957650930038683,0.0957650930038683,front_month,-0.38913784878727276,0.5288461538461539,-0.15407786794494732,0.559375,0.5277026189937872,0.0540540540540541,-0.15857,0.001,1.1144,-1.95312,4993.0,89.0
ETH-29MAY26-2500-C,call,2026-05-29,2500.0,15.049874001041667,2267.11,20.177279,0.4864,0.1027254963367458,0.1027254963367458,front_month,-0.8058038860759287,0.18269230769230768,-0.5847571417721903,0.296875,0.650750291362629,0.111111111111111,0.17541,0.00115,1.18935,-1.92209,25111.0,77.0
ETH-29MAY26-2500-P,put,2026-05-29,2500.0,15.049874001041667,2267.11,251.195788,0.4864,0.1027254963367458,0.1027254963367458,front_month,-0.8058038860759287,0.18269230769230768,-0.5847571417721903,0.296875,0.6805526885119647,0.0589569160997734,-0.82459,0.00115,1.18935,-1.92209,762.0,0.0
ETH-29MAY26-2000-C,call,2026-05-29,2000.0,15.049874001041667,2267.11,283.615461,0.5453,-0.1178196029306033,0.1178196029306033,front_month,-0.2086839445600685,0.5673076923076923,0.032445029235708314,0.646875,0.5075106360453667,0.0356435643564356,0.88381,0.00078,0.90082,-1.63201,6807.0,50.0
